!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592091&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Achter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595918&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=429400&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Adam Loewen,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,64,13,4,2,1,1,0,0,2,.231,.692,.462,.143
,,,Sinker,16,3,0,1,0,0,0,0,0,.000,.000,.000,.000
,,,Change,4,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,28,3,1,1,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,21,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=607030&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Adam McCreery,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=446192&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Adam Moore,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,176,40,11,4,0,4,3,0,4,.275,.650,.375,.280
